"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"286","RMDQ20_v1","RMDQ5_v1","0.894736842105263","38","182","144","38","4","34"
"287","RMDQ21_v1","RMDQ5_v1","0.875","48","172","142","30","6","42"
"288","RMDQ22_v1","RMDQ5_v1","1","38","182","148","34","0","38"
"289","RMDQ23_v1","RMDQ5_v1","0.918918918918919","37","183","145","38","3","34"
"290","RMDQ24_v1","RMDQ5_v1","0.971428571428571","35","185","147","38","1","34"
"291","Dor_costas","RMDQ6_v1","0.298387096774194","124","67","56","11","87","37"
"292","Dor_pernas","RMDQ6_v1","0.276923076923077","65","124","94","30","47","18"
"293","Livrar_costas","RMDQ6_v1","0.277777777777778","108","16","13","3","78","30"
"294","Livrar_perna","RMDQ6_v1","0.214285714285714","14","110","80","30","11","3"
"295","D30","RMDQ6_v1","0.32258064516129","62","56","47","9","42","20"
"296","RMDQ1_v1","RMDQ6_v1","0.352941176470588","85","134","108","26","55","30"
"297","RMDQ2_v1","RMDQ6_v1","0.344444444444444","90","129","104","25","59","31"
"298","RMDQ3_v1","RMDQ6_v1","0.6625","80","141","137","4","27","53"
"299","RMDQ4_v1","RMDQ6_v1","0.581818181818182","55","166","141","25","23","32"
"300","RMDQ5_v1","RMDQ6_v1","0.73972602739726","73","148","145","3","19","54"
"301","RMDQ6_v1","RMDQ6_v1","1","57","164","164","0","0","57"
"302","RMDQ7_v1","RMDQ6_v1","0.846153846153846","39","181","158","23","6","33"
"303","RMDQ8_v1","RMDQ6_v1","0.875","8","212","163","49","1","7"
"304","RMDQ9_v1","RMDQ6_v1","0.970588235294118","34","186","163","23","1","33"
"305","RMDQ10_v1","RMDQ6_v1","0.875","40","180","159","21","5","35"
"306","RMDQ11_v1","RMDQ6_v1","0.928571428571429","42","178","161","17","3","39"
"307","RMDQ12_v1","RMDQ6_v1","0.886363636363636","44","176","159","17","5","39"
"308","RMDQ13_v1","RMDQ6_v1","0.804347826086957","46","174","155","19","9","37"
"309","RMDQ14_v1","RMDQ6_v1","0.693877551020408","49","171","149","22","15","34"
"310","RMDQ15_v1","RMDQ6_v1","0.870967741935484","31","189","160","29","4","27"
"311","RMDQ16_v1","RMDQ6_v1","0.891891891891892","37","183","160","23","4","33"
"312","RMDQ17_v1","RMDQ6_v1","0.795918367346939","49","171","154","17","10","39"
"313","RMDQ18_v1","RMDQ6_v1","0.916666666666667","36","184","161","23","3","33"
"314","RMDQ19_v1","RMDQ6_v1","0.96875","32","188","163","25","1","31"
"315","RMDQ20_v1","RMDQ6_v1","0.973684210526316","38","182","163","19","1","37"
"316","RMDQ21_v1","RMDQ6_v1","0.729166666666667","48","172","151","21","13","35"
"317","RMDQ22_v1","RMDQ6_v1","1","38","182","164","18","0","38"
"318","RMDQ23_v1","RMDQ6_v1","0.918918918918919","37","183","161","22","3","34"
"319","RMDQ24_v1","RMDQ6_v1","1","35","185","164","21","0","35"
"320","Dor_costas","RMDQ7_v1","0.227642276422764","123","67","61","6","95","28"
"321","Dor_pernas","RMDQ7_v1","0.230769230769231","65","123","104","19","50","15"
"322","Livrar_costas","RMDQ7_v1","0.224299065420561","107","16","14","2","83","24"
"323","Livrar_perna","RMDQ7_v1","0.142857142857143","14","109","85","24","12","2"
"324","D30","RMDQ7_v1","0.213114754098361","61","56","49","7","48","13"
"325","RMDQ1_v1","RMDQ7_v1","0.388235294117647","85","134","128","6","52","33"
"326","RMDQ2_v1","RMDQ7_v1","0.388888888888889","90","129","125","4","55","35"
"327","RMDQ3_v1","RMDQ7_v1","0.430379746835443","79","141","136","5","45","34"
"328","RMDQ4_v1","RMDQ7_v1","0.185185185185185","54","166","137","29","44","10"
"329","RMDQ5_v1","RMDQ7_v1","0.486111111111111","72","148","144","4","37","35"
"330","RMDQ6_v1","RMDQ7_v1","0.589285714285714","56","164","158","6","23","33"
"331","RMDQ7_v1","RMDQ7_v1","1","39","181","181","0","0","39"
"332","RMDQ8_v1","RMDQ7_v1","1","8","212","181","31","0","8"
