"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ11_v1","SF12_M1_8_v1",0.887636216390294,2.9935459169727e-24,178,42,12
"RMDQ11_v1","SF12_M1_9_v1",-0.822805247719272,2.45840507929683e-20,178,42,12
"RMDQ11_v1","SF12_M1_10_v1",-0.807123256962874,1.77935942346774e-19,178,42,12
"RMDQ11_v1","SF12_M1_11_v1",-0.955449157714319,4.46420148184922e-29,178,42,12
"RMDQ11_v1","SF12_M1_12_v1",-0.936791498189925,1.15496669182085e-27,178,42,12
"RMDQ12_v1","Oswestry6_v1",0.971593761909355,3.27124284895099e-31,176,44,12
"RMDQ12_v1","Oswestry8_v1",0.943462283296842,6.25084965484384e-29,176,44,12
"RMDQ12_v1","Oswestry10_v1",0.942716227000955,7.14665093848479e-29,176,44,12
"RMDQ12_v1","SF12_M1_1_v1",0.6955747534999,1.71112899866842e-14,176,44,12
"RMDQ12_v1","SF12_M1_2_v1",-0.799569664263379,1.57087880774737e-19,176,44,12
"RMDQ12_v1","SF12_M1_3_v1",-0.857479854900764,6.46297533950103e-23,176,44,12
"RMDQ12_v1","SF12_M1_4_v1",-0.743219811817802,1.18788572018549e-16,176,44,12
"RMDQ12_v1","SF12_M1_5_v1",-0.766779085733272,8.25899879365455e-18,176,44,12
"RMDQ12_v1","SF12_M1_6_v1",-0.852965876038179,1.23503918559634e-22,176,44,12
"RMDQ12_v1","SF12_M1_7_v1",-0.910833728329417,1.72008270301978e-26,176,44,12
"RMDQ12_v1","SF12_M1_8_v1",0.779307187483902,1.88359460323761e-18,176,44,12
"RMDQ12_v1","SF12_M1_9_v1",-0.778423795729971,2.09347885281783e-18,176,44,12
"RMDQ12_v1","SF12_M1_10_v1",-0.700557724078713,1.04323149805823e-14,176,44,12
"RMDQ12_v1","SF12_M1_11_v1",-0.907782370230018,2.83965705275866e-26,176,44,12
"RMDQ12_v1","SF12_M1_12_v1",-0.859283671364425,4.97933570661731e-23,176,44,12
"RMDQ13_v1","Oswestry1_v1",0.949739445440656,3.45944357240818e-30,174,46,12
"RMDQ13_v1","Oswestry3_v1",0.934342281665322,6.01326231219498e-29,174,46,12
"RMDQ13_v1","Oswestry5_v1",0.946535133977042,6.33008706057098e-30,174,46,12
"RMDQ13_v1","Oswestry6_v1",0.880669096538223,5.30764502285482e-25,174,46,12
"RMDQ13_v1","Oswestry7_v1",0.945234318389294,8.07748447293873e-30,174,46,12
"RMDQ13_v1","Oswestry8_v1",0.897123887107148,3.74501280025541e-26,174,46,12
"RMDQ13_v1","Oswestry9_v1",0.964830483452116,1.86776058605426e-31,174,46,12
"RMDQ13_v1","Oswestry10_v1",0.84168003951125,1.85895100370037e-22,174,46,12
"RMDQ13_v1","Ord_RMDQ",0.975499323844068,4.03735251474815e-26,89,46,0
"RMDQ13_v1","SF12_M1_1_v1",0.630285545621802,3.98492560335132e-12,174,46,12
"RMDQ13_v1","SF12_M1_2_v1",-0.740007683059118,7.478716722676e-17,174,46,12
"RMDQ13_v1","SF12_M1_3_v1",-0.797554482716652,7.40042217861361e-20,174,46,12
"RMDQ13_v1","SF12_M1_4_v1",-0.705527527555597,3.08931604046466e-15,174,46,12
"RMDQ13_v1","SF12_M1_5_v1",-0.707053288644174,2.63660251164382e-15,174,46,12
"RMDQ13_v1","SF12_M1_6_v1",-0.796409620816925,8.57241615510989e-20,174,46,12
"RMDQ13_v1","SF12_M1_7_v1",-0.853402182480299,3.38968439491062e-23,174,46,12
"RMDQ13_v1","SF12_M1_8_v1",0.723083820595103,4.82116714908766e-16,174,46,12
"RMDQ13_v1","SF12_M1_9_v1",-0.721981845347241,5.42946389684441e-16,174,46,12
"RMDQ13_v1","SF12_M1_10_v1",-0.615347384624612,1.43353360577118e-11,174,46,12
"RMDQ13_v1","SF12_M1_11_v1",-0.759750521383237,7.73571547432439e-18,174,46,12
"RMDQ13_v1","SF12_M1_12_v1",-0.771401708916187,1.92874899926186e-18,174,46,12
"RMDQ14_v1","Oswestry1_v1",0.968810576176896,5.54983929949053e-33,171,49,12
"RMDQ14_v1","Oswestry3_v1",0.927866315606647,1.88193275631543e-29,171,49,12
"RMDQ14_v1","Oswestry5_v1",0.919012353324671,9.68506164498025e-29,171,49,12
"RMDQ14_v1","Oswestry6_v1",0.960853362789565,2.90507794829821e-32,171,49,12
"RMDQ14_v1","Oswestry7_v1",0.90535683049872,1.12281124703264e-27,171,49,12
"RMDQ14_v1","Oswestry8_v1",0.941175793077029,1.48484422654327e-30,171,49,12
"RMDQ14_v1","Oswestry9_v1",0.925163420109655,3.1163588447979e-29,171,49,12
"RMDQ14_v1","Oswestry10_v1",0.92751060476892,2.01152066232137e-29,171,49,12
"RMDQ14_v1","Ord_RMDQ",0.983323499811517,1.99940891938442e-27,86,49,0
"RMDQ14_v1","SF12_M1_1_v1",0.666086284610871,6.3830446008204e-14,171,49,12
"RMDQ14_v1","SF12_M1_2_v1",-0.83203925183665,1.42499229400211e-22,171,49,12
